127.0.0.1, 2016-05-08 16:11:44, GET, /, HTTP/1.1, 303, 0.829000
127.0.0.1, 2016-05-08 16:11:44, GET, /welcome/default/index, HTTP/1.1, 200, 0.600000
127.0.0.1, 2016-05-08 16:21:57, GET, /, HTTP/1.1, 303, 0.827000
127.0.0.1, 2016-05-08 16:21:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.589000
127.0.0.1, 2016-05-08 16:22:03, GET, /admin/default/site, HTTP/1.1, 303, 0.254000
127.0.0.1, 2016-05-08 16:22:03, GET, /admin/default/index, HTTP/1.1, 200, 0.197000
127.0.0.1, 2016-05-08 16:22:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-05-08 16:22:06, POST, /admin/default/index, HTTP/1.1, 303, 0.044000
127.0.0.1, 2016-05-08 16:22:07, GET, /admin/default/site, HTTP/1.1, 200, 0.331000
127.0.0.1, 2016-05-08 16:22:07, POST, /admin/default/check_version, HTTP/1.1, 200, 0.418000
127.0.0.1, 2016-05-08 16:22:08, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-05-08 16:22:11, POST, /admin/default/site, HTTP/1.1, 303, 0.618000
127.0.0.1, 2016-05-08 16:22:11, GET, /admin/default/design/RSO, HTTP/1.1, 200, 0.547000
127.0.0.1, 2016-05-08 16:22:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-05-08 16:23:20, GET, /admin/default/index, HTTP/1.1, 303, 0.016000
127.0.0.1, 2016-05-08 16:23:20, GET, /admin/default/site, HTTP/1.1, 200, 0.053000
127.0.0.1, 2016-05-08 16:23:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-05-08 16:23:22, GET, /RSO/default/index, HTTP/1.1, 200, 0.365000
127.0.0.1, 2016-05-08 16:23:22, GET, /RSO/static/js/Chart.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-05-08 16:23:22, GET, /RSO/static/js/rso.js, HTTP/1.1, 304, 0.001000
